# MNE-Annotations
# onset, duration, description
0.0,30630.0,Sleep stage W
30630.0,120.0,Sleep stage 1
30750.0,390.0,Sleep stage 2
31140.0,30.0,Sleep stage 3
31170.0,30.0,Sleep stage 2
31200.0,150.0,Sleep stage 3
31350.0,30.0,Sleep stage 4
31380.0,60.0,Sleep stage 3
31440.0,60.0,Sleep stage 4
31500.0,30.0,Sleep stage 3
31530.0,120.0,Sleep stage 4
31650.0,30.0,Sleep stage 3
31680.0,120.0,Sleep stage 4
31800.0,30.0,Sleep stage W
31830.0,60.0,Sleep stage 3
31890.0,60.0,Sleep stage 2
31950.0,120.0,Sleep stage 3
32070.0,30.0,Sleep stage 4
32100.0,30.0,Sleep stage 3
32130.0,120.0,Sleep stage 4
32250.0,210.0,Sleep stage 2
32460.0,30.0,Sleep stage 3
32490.0,60.0,Sleep stage 2
32550.0,120.0,Sleep stage 3
32670.0,30.0,Sleep stage 1
32700.0,150.0,Sleep stage 2
32850.0,60.0,Sleep stage 3
32910.0,30.0,Sleep stage 2
32940.0,30.0,Sleep stage 3
32970.0,30.0,Sleep stage 2
33000.0,120.0,Sleep stage 3
33120.0,150.0,Sleep stage 4
33270.0,30.0,Sleep stage 3
33300.0,30.0,Sleep stage 2
33330.0,60.0,Sleep stage 3
33390.0,30.0,Sleep stage 4
33420.0,90.0,Sleep stage 3
33510.0,1890.0,Sleep stage 4
35400.0,30.0,Sleep stage 1
35430.0,210.0,Sleep stage 3
35640.0,60.0,Sleep stage 2
35700.0,90.0,Sleep stage 3
35790.0,150.0,Sleep stage 2
35940.0,30.0,Sleep stage 3
35970.0,870.0,Sleep stage R
36840.0,180.0,Sleep stage 1
37020.0,240.0,Sleep stage 2
37260.0,30.0,Sleep stage 3
37290.0,120.0,Sleep stage 1
37410.0,90.0,Sleep stage 2
37500.0,30.0,Sleep stage 1
37530.0,930.0,Sleep stage 2
38460.0,30.0,Sleep stage 3
38490.0,30.0,Sleep stage 2
38520.0,60.0,Sleep stage 3
38580.0,30.0,Sleep stage 4
38610.0,30.0,Sleep stage 3
38640.0,30.0,Sleep stage 4
38670.0,30.0,Sleep stage 3
38700.0,30.0,Sleep stage 4
38730.0,30.0,Sleep stage 3
38760.0,150.0,Sleep stage 2
38910.0,60.0,Sleep stage 3
38970.0,90.0,Sleep stage 4
39060.0,60.0,Sleep stage 3
39120.0,30.0,Sleep stage 4
39150.0,30.0,Sleep stage 3
39180.0,60.0,Sleep stage 4
39240.0,60.0,Sleep stage 3
39300.0,180.0,Sleep stage 4
39480.0,60.0,Sleep stage 3
39540.0,30.0,Sleep stage 4
39570.0,30.0,Sleep stage 3
39600.0,270.0,Sleep stage 4
39870.0,30.0,Sleep stage 1
39900.0,60.0,Sleep stage 2
39960.0,30.0,Sleep stage 1
39990.0,210.0,Sleep stage 2
40200.0,30.0,Sleep stage 1
40230.0,60.0,Sleep stage 2
40290.0,30.0,Sleep stage 1
40320.0,180.0,Sleep stage 2
40500.0,870.0,Sleep stage R
41370.0,30.0,Sleep stage 2
41400.0,60.0,Sleep stage 1
41460.0,30.0,Sleep stage W
41490.0,120.0,Sleep stage 1
41610.0,870.0,Sleep stage 2
42480.0,30.0,Sleep stage 1
42510.0,30.0,Sleep stage 2
42540.0,30.0,Sleep stage 1
42570.0,300.0,Sleep stage 2
42870.0,30.0,Sleep stage 3
42900.0,390.0,Sleep stage 2
43290.0,30.0,Sleep stage 3
43320.0,30.0,Sleep stage 2
43350.0,30.0,Sleep stage 3
43380.0,30.0,Sleep stage 2
43410.0,180.0,Sleep stage 3
43590.0,90.0,Sleep stage 4
43680.0,30.0,Sleep stage 3
43710.0,210.0,Sleep stage 2
43920.0,60.0,Sleep stage 3
43980.0,30.0,Sleep stage 2
44010.0,30.0,Sleep stage 4
44040.0,180.0,Sleep stage 3
44220.0,60.0,Sleep stage 4
44280.0,60.0,Sleep stage 3
44340.0,60.0,Sleep stage 4
44400.0,120.0,Sleep stage 3
44520.0,120.0,Sleep stage 2
44640.0,30.0,Sleep stage 3
44670.0,30.0,Sleep stage 4
44700.0,30.0,Sleep stage 2
44730.0,240.0,Sleep stage R
44970.0,30.0,Sleep stage 1
45000.0,510.0,Sleep stage R
45510.0,30.0,Sleep stage W
45540.0,120.0,Sleep stage 1
45660.0,480.0,Sleep stage W
46140.0,90.0,Sleep stage 1
46230.0,30.0,Sleep stage W
46260.0,120.0,Sleep stage 1
46380.0,690.0,Sleep stage 2
47070.0,60.0,Sleep stage W
47130.0,30.0,Sleep stage 1
47160.0,990.0,Sleep stage 2
48150.0,30.0,Sleep stage 3
48180.0,30.0,Sleep stage 2
48210.0,90.0,Sleep stage 3
48300.0,120.0,Sleep stage 2
48420.0,60.0,Sleep stage 3
48480.0,60.0,Sleep stage 2
48540.0,30.0,Sleep stage 3
48570.0,30.0,Sleep stage 2
48600.0,30.0,Sleep stage 3
48630.0,30.0,Sleep stage 2
48660.0,120.0,Sleep stage 3
48780.0,210.0,Sleep stage 2
48990.0,30.0,Sleep stage 3
49020.0,120.0,Sleep stage 2
49140.0,60.0,Sleep stage 1
49200.0,990.0,Sleep stage R
50190.0,30.0,Sleep stage W
50220.0,150.0,Sleep stage 1
50370.0,270.0,Sleep stage R
50640.0,510.0,Sleep stage W
51150.0,90.0,Sleep stage 1
51240.0,300.0,Sleep stage W
51540.0,30.0,Sleep stage 1
51570.0,540.0,Sleep stage W
52110.0,150.0,Sleep stage 1
52260.0,27240.0,Sleep stage W
79500.0,6900.0,Sleep stage ?
